league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,West Ham vs Crystal Palace,6/11/2022,West Ham,Crystal Palace,1,2
Premier League,Tottenham vs Liverpool,6/11/2022,Tottenham,Liverpool,1,2
Premier League,Man City vs Brentford,12/11/2022,Man City,Brentford,1,2
Premier League,Bournemouth vs Everton,12/11/2022,Bournemouth,Everton,3,0
Premier League,Liverpool vs Southampton,12/11/2022,Liverpool,Southampton,3,1
Premier League,Nottingham vs Crystal Palace,12/11/2022,Nottingham,Crystal Palace,1,0
Premier League,Tottenham vs Leeds,12/11/2022,Tottenham,Leeds,4,3
Premier League,West Ham vs Leicester,12/11/2022,West Ham,Leicester,0,2
Premier League,Newcastle vs Chelsea,12/11/2022,Newcastle,Chelsea,1,0
Premier League,Wolves vs Arsenal,12/11/2022,Wolves,Arsenal,0,2
Premier League,Brighton vs Aston Villa,13/11/2022,Brighton,Aston Villa,1,2
Premier League,Fulham vs Man United,13/11/2022,Fulham,Man United,1,2
Premier League,Brentford vs Tottenham,26/12/2022,Brentford,Tottenham,2,2
Premier League,Crystal Palace vs Fulham,26/12/2022,Crystal Palace,Fulham,0,3
Premier League,Everton vs Wolves,26/12/2022,Everton,Wolves,1,2
Premier League,Leicester vs Newcastle,26/12/2022,Leicester,Newcastle,0,3
Premier League,Southampton vs Brighton,26/12/2022,Southampton,Brighton,1,3
Premier League,Aston Villa vs Liverpool,26/12/2022,Aston Villa,Liverpool,1,3
Premier League,Arsenal vs West Ham,26/12/2022,Arsenal,West Ham,3,1
Premier League,Chelsea vs Bournemouth,27/12/2022,Chelsea,Bournemouth,2,0
Premier League,Man United vs Nottingham,27/12/2022,Man United,Nottingham,3,0
Premier League,Leeds vs Man City,28/12/2022,Leeds,Man City,1,3
Premier League,West Ham vs Brentford,30/12/2022,West Ham,Brentford,0,2
Premier League,Liverpool vs Leicester,30/12/2022,Liverpool,Leicester,2,1
Premier League,Wolves vs Man United,31/12/2022,Wolves,Man United,0,1
Premier League,Bournemouth vs Crystal Palace,31/12/2022,Bournemouth,Crystal Palace,0,2
Premier League,Fulham vs Southampton,31/12/2022,Fulham,Southampton,2,1
Premier League,Man City vs Everton,31/12/2022,Man City,Everton,1,1
Premier League,Newcastle vs Leeds,31/12/2022,Newcastle,Leeds,0,0
Premier League,Brighton vs Arsenal,31/12/2022,Brighton,Arsenal,2,4
Premier League,Tottenham vs Aston Villa,1/1/2023,Tottenham,Aston Villa,0,2
Premier League,Nottingham vs Chelsea,1/1/2023,Nottingham,Chelsea,1,1
Premier League,Brentford vs Liverpool,2/1/2023,Brentford,Liverpool,3,1
Premier League,Arsenal vs Newcastle,3/1/2023,Arsenal,Newcastle,0,0
Premier League,Everton vs Brighton,3/1/2023,Everton,Brighton,1,4
Premier League,Leicester vs Fulham,3/1/2023,Leicester,Fulham,0,1
